Run Number,with_radiation - Distance (m),without_radiation - Distance (m),with_radiation - Dose (units),without_radiation - Dose (units)
1,199.7288008269543,235.1638168957035,2697.9254245764937,5719.906510412723
2,342.68692688679823,270.1577885738649,5087.021845922688,5352.8978765823595
3,283.2254320871889,235.1638168957035,4040.5369079194193,5643.872561178385
4,243.2927066861319,235.1638168957035,3722.7248137532615,6858.289161353046
5,307.678545249057,270.1577885738649,2511.307541734476,5690.489118199298
6,315.2817464810998,270.1577885738649,1700.2810300180563,4551.096807949416
