cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,5.764175231506492596e-05
1.574383386443898658e+01,3.830060634237176131e+00
2.016197827131389175e+01,1.192870723970920750e+02
2.056197827131389033e+01,1.272578068016441790e+02
2.136197827131389104e+01,1.409027400166003190e+02
2.897249730749007313e+01,1.409307224310130380e+02
3.454385261836372223e+01,1.409307829522331872e+02
4.011520792923737133e+01,1.409512677539146921e+02
4.491520792923736849e+01,1.490867810832983480e+02
5.548308378013569353e+01,1.906686541584892325e+02
6.436452510460550513e+01,1.918731361760166010e+02
8.292038671219464163e+01,1.918731362746760851e+02
9.537831591411259069e+01,1.918781703249997292e+02
1.036148200269021942e+02,2.173886319878191671e+02
1.192609057993885529e+02,2.195857575126897814e+02
1.418670996409002214e+02,2.195857575126897814e+02
1.735909077351375913e+02,3.152074819190513608e+02
1.816902904276642232e+02,3.254763490331977778e+02
2.124070610912610277e+02,3.254763492479419824e+02
2.228377849395852763e+02,3.300157520795539767e+02
2.344859607624341038e+02,3.384346930477529440e+02
2.514565235109112393e+02,7.400384960254316411e+02
2.762597491075952121e+02,7.400453871899674141e+02
2.841489822769216289e+02,7.400478163458118388e+02
2.918431359015901876e+02,7.402808993258312285e+02
2.984401049025784687e+02,7.420606182527315013e+02
2.995714757524769425e+02,7.421466196716876311e+02
3.016110835579140712e+02,7.426144640605624545e+02
