cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
1.954788991170146772e+01,2.891152399543852169e+01
3.758784556574895674e+01,3.155039418596106415e+01
5.482965521555080102e+01,5.159338303717879626e+02
7.005069328790315808e+01,5.380922633050140576e+02
9.081990126509863615e+01,5.380922667854615611e+02
1.115891092422941142e+02,5.683275963241771933e+02
1.163891092422941114e+02,8.605423062472173115e+02
1.248743906165326791e+02,1.144040565121385043e+03
1.337106794302824824e+02,1.144056293948837038e+03
1.385768894545210514e+02,1.144056295326009149e+03
1.770102083328068545e+02,4.126315978528926280e+03
1.890168731486497506e+02,4.191749013750661106e+03
2.076630523819404175e+02,4.192574194780750076e+03
2.206183601745017313e+02,4.192574194806348714e+03
2.314257650433867752e+02,4.192592926052950133e+03
2.365482644333330597e+02,4.192593129155523457e+03
2.432534862790291470e+02,4.192598070168694903e+03
2.519068093401427291e+02,4.283054825399020956e+03
2.579068093401427291e+02,4.288203235490379484e+03
2.630293087300889852e+02,4.288206935466029790e+03
2.695897965168316546e+02,4.308408725446254721e+03
2.789535564454073437e+02,4.310154343577015425e+03
2.899371806196041348e+02,4.310155066292930314e+03
2.958431098436975049e+02,4.310157105548917571e+03
3.044314740651310558e+02,4.310157105549393236e+03
3.119040907420388180e+02,4.310157105549398693e+03
3.203136091586902694e+02,4.310157129612801327e+03
3.301928803868730711e+02,4.310157129612801327e+03
3.351406071376142677e+02,4.310157129612818608e+03
3.604198476325341858e+02,4.352142296859048656e+03
3.702991188607169875e+02,4.352439586050258185e+03
