cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.733605055451325815e-07
4.057561166005524633e+00,2.844230590970373989e-07
5.754617440853238897e+00,8.319104667357350273e-07
7.451673715700952272e+00,2.736470159324339755e-06
9.240528097700783761e+00,6.907088797950604818e-05
1.102938247970061525e+01,8.682601360348140944e-04
1.267862472994768019e+01,4.282368495006503607e-03
1.507862472994767877e+01,1.435506971160426248e-01
1.667862472994767842e+01,7.439554719927760074e-01
1.827862472994767984e+01,3.665378967035420210e+00
2.107862472994767700e+01,4.477043896268519063e+01
2.272786698019474372e+01,1.095682741755214948e+02
2.432786698019474514e+01,2.148369016715754469e+02
2.774546847832175800e+01,2.530094820356005130e+02
3.062990949869294965e+01,2.555787492205073761e+02
3.382990949869294894e+01,2.556328447329505309e+02
3.702990949869294468e+01,2.556331738077795421e+02
4.025481259801236433e+01,2.556331748914164734e+02
4.345481259801236718e+01,2.556333552914380220e+02
4.650112184035792495e+01,2.556333584716421967e+02
5.050112184035792495e+01,2.556337979353032495e+02
5.444066496107636510e+01,2.557060523263719176e+02
5.766556806039578476e+01,2.588855406192487862e+02
6.110649816721283401e+01,3.240630679600040480e+02
6.275574041745989717e+01,4.019316216162108049e+02
6.598064351677930972e+01,4.672283864445225845e+02
6.918064351677929835e+01,4.710647454150042677e+02
7.275835228077896488e+01,4.711483478908344296e+02
7.669789540149740503e+01,4.711485591119467813e+02
8.038571318441455560e+01,4.711487294604709177e+02
8.480385759128945722e+01,4.711569046017953042e+02
8.880385759128945722e+01,4.725910712533623155e+02
9.311198943699706376e+01,5.635446732212388952e+02
9.758412539199665048e+01,9.981237607494283566e+02
1.006304346343422083e+02,1.176875540817460660e+03
1.022304346343422026e+02,1.240937374842471854e+03
1.054553377336616222e+02,1.555712708700198846e+03
1.088494502833570436e+02,2.159365137365542523e+03
1.134101519837535932e+02,2.328681017262570094e+03
1.177182838294611997e+02,2.333415128235257271e+03
1.209431869287806194e+02,2.333558939722617652e+03
1.225924291790276897e+02,2.333565961577943654e+03
1.260100306771547025e+02,2.333604474116168603e+03
1.300100306771547025e+02,2.333607822036072776e+03
1.348100306771547139e+02,2.333607839011203851e+03
1.387698286517993722e+02,2.333607844963463776e+03
1.430779604975069788e+02,2.333607857028415765e+03
1.485185487010011514e+02,2.333607861355398654e+03
1.520962574650008037e+02,2.333607866152801307e+03
1.549806984853719882e+02,2.333608463479842158e+03
1.601960604095341125e+02,2.333608470730178396e+03
1.654114223336962368e+02,2.333616938723921976e+03
1.698835582886958093e+02,2.333638274830104820e+03
1.715328005389428654e+02,2.333684312013468571e+03
1.759509449458177812e+02,2.339629893097980585e+03
1.807509449458177926e+02,2.339671716718185507e+03
1.861915331493119652e+02,2.339671838878002291e+03
1.890759741696831497e+02,2.339674662608483686e+03
1.930759741696831497e+02,2.339675089027229660e+03
1.978759741696831611e+02,2.339862500541496956e+03
2.030759741696831497e+02,2.361119754808118159e+03
2.066536829336828021e+02,2.515330127984283990e+03
2.104484161258848474e+02,2.855873529300360588e+03
2.153310383721783410e+02,2.877067611684258736e+03
2.201310383721783523e+02,2.877401590470703468e+03
2.240908363468230107e+02,2.877436941277283950e+03
2.270028803025352317e+02,2.877437337229788227e+03
2.307764727553578723e+02,2.877437339877162685e+03
2.356426827795964414e+02,2.877437460173600357e+03
2.380426827795964471e+02,2.877440969034408681e+03
