cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,2.202195565654282347e-08
4.057561166005524633e+00,5.813634869756271123e-07
5.754617440853238897e+00,8.700719569913783932e-06
7.451673715700952272e+00,9.187328306451372935e-05
9.240528097700783761e+00,1.078538846023852787e-04
1.102938247970061525e+01,1.083708726424310610e-04
1.267862472994768019e+01,1.083833855443395186e-04
1.507862472994767877e+01,1.083891704178054186e-04
1.667862472994767842e+01,1.083904287431709139e-04
1.827862472994767984e+01,1.083907376668979809e-04
2.107862472994767700e+01,1.083907610151149361e-04
2.272786698019474372e+01,1.083907616292240279e-04
2.432786698019474514e+01,1.083907616795847987e-04
2.774546847832175800e+01,1.083907755347097047e-04
3.062990949869294965e+01,1.084049677889451890e-04
3.382990949869294894e+01,1.109182314250770432e-04
3.702990949869294468e+01,3.991870420853398365e-04
4.025481259801236433e+01,2.264193005296006450e-02
4.345481259801236718e+01,9.714027812080603397e-01
4.650112184035792495e+01,9.966868921120157765e-01
5.050112184035792495e+01,9.969661333269284054e-01
5.444066496107636510e+01,9.969662477810414813e-01
5.766556806039578476e+01,9.969662480818779482e-01
6.110649816721283401e+01,9.969662568186131724e-01
6.275574041745989717e+01,9.969662582816658514e-01
6.598064351677930972e+01,9.969679762471976847e-01
6.918064351677929835e+01,9.969689166629245314e-01
7.275835228077896488e+01,9.969770737238837777e-01
7.669789540149740503e+01,9.974574782543625950e-01
8.038571318441455560e+01,1.135493545162983287e+00
8.480385759128945722e+01,1.123553524801539716e+01
8.880385759128945722e+01,9.743051787715882028e+01
9.311198943699706376e+01,4.418609027571581009e+02
9.758412539199665048e+01,4.939300561914601531e+02
1.006304346343422083e+02,4.960583735071157889e+02
1.022304346343422026e+02,4.962861235176845867e+02
1.054553377336616222e+02,4.976709977722900362e+02
1.088494502833570436e+02,5.216397782488019175e+02
1.134101519837535932e+02,5.554812333631487036e+02
1.177182838294611997e+02,5.620912406994667663e+02
1.209431869287806194e+02,5.622164366104980218e+02
1.225924291790276897e+02,5.622450165678620806e+02
1.260100306771547025e+02,5.660006079443594444e+02
1.300100306771547025e+02,6.752199728407420025e+02
1.348100306771547139e+02,1.337991346995077947e+03
1.387698286517993722e+02,1.947766277120607811e+03
1.430779604975069788e+02,2.089827431170792352e+03
1.485185487010011514e+02,2.091733304533716819e+03
1.520962574650008037e+02,2.091752566477405253e+03
1.549806984853719882e+02,2.091752709192472594e+03
1.601960604095341125e+02,2.091753041183237656e+03
1.654114223336962368e+02,2.091753073919888266e+03
1.698835582886958093e+02,2.091753073923890952e+03
1.715328005389428654e+02,2.091753073923927786e+03
1.759509449458177812e+02,2.091753073923927786e+03
1.807509449458177926e+02,2.091753073923927786e+03
1.861915331493119652e+02,2.091753073923927786e+03
1.890759741696831497e+02,2.091753073923927786e+03
1.930759741696831497e+02,2.091753073923927786e+03
1.978759741696831611e+02,2.091753073923927786e+03
2.030759741696831497e+02,2.091753073923928241e+03
2.066536829336828021e+02,2.091753073925130138e+03
2.104484161258848474e+02,2.091753077163085436e+03
2.153310383721783410e+02,2.091761995808014490e+03
2.201310383721783523e+02,2.097181416032831294e+03
2.240908363468230107e+02,2.137890644827401957e+03
2.270028803025352317e+02,2.263408794777021740e+03
2.307764727553578723e+02,2.860232994569588755e+03
2.356426827795964414e+02,3.128659516760027145e+03
2.380426827795964471e+02,3.156478832786312068e+03
