cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,5.401211462854653331e-09
4.057561166005524633e+00,1.431990995504139726e-07
5.754617440853238897e+00,1.644920364930841231e-06
7.451673715700952272e+00,1.319407174261770365e-05
9.240528097700783761e+00,1.443374491455735748e-05
1.102938247970061525e+01,1.446086788076744093e-05
1.267862472994768019e+01,1.446137292924641257e-05
1.507862472994767877e+01,1.446148067854505379e-05
1.667862472994767842e+01,1.446149467475473886e-05
1.827862472994767984e+01,1.446149672669652253e-05
2.107862472994767700e+01,1.446149678960702833e-05
2.272786698019474372e+01,1.446149679056267462e-05
2.432786698019474514e+01,1.446149679060945286e-05
2.774546847832175800e+01,1.446149680181700996e-05
3.062990949869294965e+01,1.446152019766332743e-05
3.382990949869294894e+01,1.446602065246099516e-05
3.702990949869294468e+01,1.471614451974877103e-05
4.025481259801236433e+01,1.678841207711532241e-05
4.345481259801236718e+01,2.863882790381818664e-05
4.650112184035792495e+01,2.866034294339737395e-05
5.050112184035792495e+01,2.882162644158625436e-05
5.444066496107636510e+01,2.920040581245562865e-05
5.766556806039578476e+01,3.584285552516928953e-05
6.110649816721283401e+01,8.432881409388575701e-04
6.275574041745989717e+01,1.081172044276448212e-03
6.598064351677930972e+01,3.582311788710738909e-02
6.918064351677929835e+01,4.540808256018682987e-02
7.275835228077896488e+01,4.548806045007365573e-02
7.669789540149740503e+01,4.548815473684966054e-02
8.038571318441455560e+01,4.548950407025272730e-02
8.480385759128945722e+01,4.555892744090148105e-02
8.880385759128945722e+01,5.819503934986036686e-02
9.311198943699706376e+01,2.843651120054536463e+00
9.758412539199665048e+01,1.492203617715047415e+02
1.006304346343422083e+02,5.142672939725299557e+02
1.022304346343422026e+02,7.927712072746488730e+02
1.054553377336616222e+02,1.252359641481577682e+03
1.088494502833570436e+02,1.361010277002243583e+03
1.134101519837535932e+02,1.363993505381125033e+03
1.177182838294611997e+02,1.364726285465930914e+03
1.209431869287806194e+02,1.364865722687606649e+03
1.225924291790276897e+02,1.364987676196914435e+03
1.260100306771547025e+02,1.375096090262716189e+03
1.300100306771547025e+02,1.607505524028386844e+03
1.348100306771547139e+02,2.558481537706849849e+03
1.387698286517993722e+02,2.839494068777835309e+03
1.430779604975069788e+02,2.855196596962039166e+03
1.485185487010011514e+02,2.855223453663669261e+03
1.520962574650008037e+02,2.855223489346215956e+03
1.549806984853719882e+02,2.855223489491419514e+03
1.601960604095341125e+02,2.855223489491736018e+03
1.654114223336962368e+02,2.855223490923201098e+03
1.698835582886958093e+02,2.855223490925804981e+03
1.715328005389428654e+02,2.855223490927190596e+03
1.759509449458177812e+02,2.855223490938592931e+03
1.807509449458177926e+02,2.855223490938592931e+03
1.861915331493119652e+02,2.855223490938592931e+03
1.890759741696831497e+02,2.855223490938592931e+03
1.930759741696831497e+02,2.855223490938592931e+03
1.978759741696831611e+02,2.855223490938594296e+03
2.030759741696831497e+02,2.855223491438563997e+03
2.066536829336828021e+02,2.855223743182292765e+03
2.104484161258848474e+02,2.855311351959842796e+03
2.153310383721783410e+02,2.866426460842275901e+03
2.201310383721783523e+02,3.189508250161632532e+03
2.240908363468230107e+02,3.899662781593158343e+03
2.270028803025352317e+02,4.333947507403990130e+03
2.307764727553578723e+02,4.646253598839932238e+03
2.356426827795964414e+02,4.679625702308521795e+03
2.380426827795964471e+02,4.682824061675617486e+03
