cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,2.178511084088845973e+00
1.574383386443898658e+01,2.178533584082594565e+00
2.378373436133569641e+01,2.178533676490219673e+00
4.154661701027531251e+01,2.178662678482628401e+00
5.925988887066293387e+01,2.178664716326056627e+00
7.450718371269967122e+01,2.178670013216263968e+00
8.842120541744054663e+01,2.181267705017824632e+00
9.526810252489002551e+01,2.423867727338282929e+00
1.137980782399307884e+02,2.423867901818082871e+00
1.272442672911080734e+02,2.423867909375647667e+00
1.392509321069509838e+02,2.423902505244094563e+00
1.420793592316971683e+02,2.423918378883056945e+00
1.784991340799852821e+02,2.740352815270944575e+03
1.885310830431728562e+02,2.740395196631376166e+03
2.063927738925857511e+02,2.740402342316295289e+03
2.195988331079610987e+02,3.548391530799136945e+03
2.490199139854543660e+02,3.548424221577377466e+03
2.546767682349467350e+02,3.559174539388368430e+03
2.679733843458224669e+02,3.566374109993693310e+03
2.687733843458224783e+02,3.567043709039541227e+03
2.794016485502916112e+02,3.652673110387476754e+03
2.863987908241059586e+02,3.652684734776791629e+03
2.919701461349795863e+02,3.652684735552880284e+03
3.009144180449787314e+02,3.652684772988386158e+03
3.194702796525678536e+02,3.652684772988390250e+03
3.537538033921136389e+02,3.652684776494376365e+03
3.626352447165834292e+02,3.653794165035258629e+03
3.670533891234583166e+02,3.654242999231946214e+03
3.747475427481268753e+02,3.657035597892647729e+03
3.798700421380731314e+02,3.657057238602120378e+03
3.900680811652587181e+02,3.657057238619576765e+03
4.113622118119885727e+02,3.657057275259902326e+03
4.162284218362271417e+02,3.657057275327597836e+03
4.222284218362271417e+02,3.657057524139825091e+03
4.284766215769524820e+02,3.657057531282742730e+03
4.304766215769524820e+02,3.657057531361458132e+03
4.324766215769524820e+02,3.657057533647850505e+03
