cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,1.999052520181608515e-18
1.574383386443898658e+01,1.999052520181608515e-18
2.378373436133569641e+01,1.999052520181608515e-18
4.154661701027531251e+01,2.113021086596065105e-05
5.925988887066293387e+01,1.019619397747710423e+03
7.450718371269967122e+01,1.019619717134680172e+03
8.842120541744054663e+01,1.019619717135810106e+03
9.526810252489002551e+01,1.019619717135810106e+03
1.328702301242693125e+02,1.019619779187408426e+03
1.417065189380191157e+02,1.029513789236764978e+03
1.490604294623591954e+02,1.233258580733017425e+03
1.655188619515119797e+02,1.233259380529710597e+03
1.851188619515119740e+02,1.233259380617193983e+03
1.964396393099798956e+02,1.233259380617193983e+03
2.097362554208556276e+02,1.233259380617193983e+03
2.310003095968588411e+02,1.233259380617329498e+03
2.463886168461959301e+02,1.234371459213798516e+03
2.585541419067923812e+02,1.521554580569873451e+03
2.686734304193312255e+02,1.560595620909697573e+03
2.740399935653307466e+02,1.560711744415457360e+03
2.834548754020826209e+02,1.560711744453857591e+03
2.894548754020826209e+02,1.560711744476275953e+03
3.001056969666381065e+02,1.560711744476275953e+03
3.045056969666380837e+02,1.560711744476275953e+03
3.105056969666380837e+02,1.560711744476275953e+03
3.165056969666380837e+02,1.560711744476275953e+03
3.397917442911626722e+02,1.561767029198461614e+03
3.438709599020369296e+02,1.570798812751103469e+03
3.489934592919831857e+02,1.934071701059780253e+03
3.591914983191687725e+02,1.934292369672353061e+03
3.763914983191687611e+02,1.934292369672353061e+03
3.801650907719914017e+02,1.934292369672353061e+03
3.869768453183619386e+02,1.934292369672353061e+03
3.929768453183619386e+02,1.934292369672353061e+03
3.992250450590872788e+02,1.934292369672353061e+03
4.014877867588842264e+02,1.934292369672353061e+03
