cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000888e+00,9.229492044416117446e-17
6.224903099319419653e+00,8.709935447323046781e-13
8.378969022173221148e+00,1.114224697325030820e-11
1.117896902217322008e+01,1.355730069167427341e-08
1.317896902217322008e+01,8.104998237567307695e-07
1.533303494502702158e+01,3.646711152727325812e-05
1.733303494502702335e+01,8.380829674733365547e-04
1.937264275046413786e+01,2.176883765893950981e-02
2.137264275046413786e+01,3.343060514954162565e-01
2.467112725095826420e+01,5.116972220419999662e-01
2.867112725095826420e+01,5.547547880658795227e-01
3.267112725095826420e+01,5.565017594363768083e-01
3.661067037167670435e+01,5.565044165830781431e-01
3.973477024203936736e+01,5.565071194061808058e-01
4.420690619703894697e+01,5.565770980146035329e-01
4.845896452213280270e+01,6.344599677452547049e-01
5.257721657852760444e+01,7.122580711430518408e-01
5.637194977072965685e+01,1.651012674860258267e+00
6.039190001917800998e+01,2.615130459235336158e+00
6.433144313989645013e+01,2.863486234195243618e+00
6.880357909489603685e+01,3.843487568407608190e+00
7.240357909489603117e+01,3.909427005168310654e+00
7.640357909489603117e+01,3.909528386466580852e+00
8.126978911913460024e+01,3.909528426919995248e+00
8.566978911913460593e+01,3.909528644525068319e+00
9.006978911913461161e+01,3.909530340419421268e+00
9.408973936758296475e+01,3.909533897664318580e+00
9.608973936758296475e+01,3.909534806307616961e+00
1.012897393675829676e+02,3.909534806319607370e+00
1.041181664923291521e+02,3.909534806319659772e+00
1.093181664923291549e+02,3.909534806319659772e+00
1.143778107485985629e+02,3.909534806319659772e+00
1.163778107485985629e+02,3.909534806319659772e+00
1.210596907128864075e+02,3.909534806319659772e+00
1.261193349691558154e+02,3.909534806319660216e+00
1.305914709241554021e+02,3.909534806329972412e+00
1.354576809483939712e+02,3.909535457583238838e+00
1.402743187799108853e+02,3.914782125692684467e+00
1.449390802957871358e+02,6.497673949293016449e+00
1.503205299146166283e+02,2.042778734403407270e+01
1.525832716144135759e+02,6.109613705846972920e+01
1.582683397758343347e+02,8.163402955689289797e+01
1.623865918322291293e+02,8.182755139210965467e+01
1.685054152485404586e+02,8.185470015193725146e+01
1.743295031599648723e+02,8.185470064290025505e+01
1.795295031599648610e+02,8.185470068612850980e+01
1.847448650841269853e+02,8.185470068613170724e+01
1.893055667845235348e+02,8.185470068613352623e+01
1.937055667845235405e+02,8.185470068613352623e+01
1.970040512850176810e+02,8.185470068613352623e+01
