cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.557691390154726960e-08
4.057561166005524633e+00,3.979686990114310289e-08
5.754617440853238897e+00,3.108792594178777758e-07
7.451673715700952272e+00,2.452010235937212684e-06
9.240528097700783761e+00,6.771720473650001335e-05
1.102938247970061525e+01,4.660738803550866895e-04
1.267862472994768019e+01,1.270824752202588887e-03
1.507862472994767877e+01,5.090089665819771958e-02
1.667862472994767842e+01,3.327449885877777902e-01
1.827862472994767984e+01,2.139218396640621300e+00
2.107862472994767700e+01,4.330712578570717142e+01
2.272786698019474372e+01,1.129869691407503467e+02
2.432786698019474514e+01,2.621007858210620043e+02
2.774546847832175800e+01,6.033230728488123304e+02
3.062990949869294965e+01,6.627738380611372122e+02
3.382990949869294894e+01,6.691981173141547288e+02
3.702990949869294468e+01,6.694073370109265397e+02
4.025481259801236433e+01,6.702031004880174123e+02
4.345481259801236718e+01,6.913113335320975921e+02
4.650112184035792495e+01,6.986546946114759749e+02
5.050112184035792495e+01,7.010861047750275930e+02
5.444066496107636510e+01,7.011136339380710751e+02
5.766556806039578476e+01,7.011145635460935637e+02
6.110649816721283401e+01,7.011149070514010191e+02
6.275574041745989717e+01,7.011149270326521901e+02
6.598064351677930972e+01,7.011250449299620868e+02
6.918064351677929835e+01,7.012339216421337369e+02
7.275835228077896488e+01,7.020789175729352110e+02
7.669789540149740503e+01,7.050561517807035443e+02
8.038571318441455560e+01,7.770102003731051354e+02
8.480385759128945722e+01,8.944076904896802489e+02
8.880385759128945722e+01,1.432686822888790857e+03
9.311198943699706376e+01,1.729036885162463022e+03
9.758412539199665048e+01,1.773929983767805652e+03
1.006304346343422083e+02,1.777914466475328027e+03
1.022304346343422026e+02,1.778407309830056647e+03
1.054553377336616222e+02,1.778514530428529724e+03
1.088494502833570436e+02,1.778850444914269247e+03
1.134101519837535932e+02,1.778864007318102722e+03
1.177182838294611997e+02,1.778864110893986663e+03
1.209431869287806194e+02,1.778864111000401635e+03
1.225924291790276897e+02,1.778864111002886148e+03
1.260100306771547025e+02,1.778864111577829817e+03
1.300100306771547025e+02,1.778864113490149066e+03
1.348100306771547139e+02,1.778864114259125472e+03
1.387698286517993722e+02,1.778864138050580777e+03
1.430779604975069788e+02,1.778867397111996070e+03
1.485185487010011514e+02,1.779046591527077680e+03
1.520962574650008037e+02,1.779157622786313141e+03
1.549806984853719882e+02,1.779458515079969402e+03
1.601960604095341125e+02,1.779900029042169308e+03
1.654114223336962368e+02,1.781010929036591506e+03
1.698835582886958093e+02,1.781023588411451101e+03
1.715328005389428654e+02,1.781025521985333398e+03
1.759509449458177812e+02,1.781025571473064247e+03
1.807509449458177926e+02,1.781033417178829268e+03
1.861915331493119652e+02,1.781043288977257362e+03
1.890759741696831497e+02,1.781110691439613447e+03
1.930759741696831497e+02,1.781161989081522051e+03
1.978759741696831611e+02,1.781164856177921365e+03
2.030759741696831497e+02,1.781164864558077625e+03
2.066536829336828021e+02,1.781164886845429010e+03
2.104484161258848474e+02,1.781167118390624182e+03
2.153310383721783410e+02,1.783981760967440323e+03
2.201310383721783523e+02,1.859360668858038480e+03
2.240908363468230107e+02,1.874224860128204227e+03
2.270028803025352317e+02,1.878639606474533139e+03
2.307764727553578723e+02,1.924432213037319571e+03
2.356426827795964414e+02,2.201726870020513161e+03
2.380426827795964471e+02,2.338492648157068743e+03
