cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000888e+00,0.000000000000000000e+00
6.224903099319419653e+00,0.000000000000000000e+00
8.378969022173221148e+00,8.015034530860341092e-19
1.117896902217322008e+01,2.020475543285086697e-17
1.317896902217322008e+01,8.586699360405630942e-17
1.533303494502702158e+01,1.042617810715571037e-16
1.733303494502702335e+01,1.276589108785144607e-15
1.937264275046413786e+01,6.610884772016966446e-15
2.137264275046413786e+01,1.118895758701544014e-14
2.467112725095826420e+01,5.775390799859552637e-11
2.867112725095826420e+01,8.849948430401339340e-07
3.267112725095826420e+01,1.891065955876218823e-03
3.661067037167670435e+01,4.059024111800360601e-01
3.973477024203936736e+01,5.378743974682578255e+00
4.420690619703894697e+01,1.611727885949726513e+01
4.845896452213280270e+01,1.617535047845239760e+01
5.257721657852760444e+01,1.684471414732145433e+01
5.637194977072965685e+01,3.167680826858305920e+01
6.039190001917800998e+01,1.716029425223416069e+02
6.433144313989645013e+01,3.646882582833553101e+02
6.873144313989645582e+01,4.789079006879884446e+02
7.193144313989645866e+01,4.924763583011902028e+02
7.593144313989645866e+01,4.932346359762437942e+02
7.833144313989646434e+01,4.938047819555154661e+02
8.319765316413503342e+01,6.121621135621409167e+02
8.697124561695767397e+01,8.895943935418599722e+02
9.241183382045184658e+01,1.224155850990884574e+03
9.742381945490851081e+01,1.341393145401664697e+03
9.957788537776231408e+01,1.381641627414391223e+03
1.055778853777623141e+02,1.385294264520776778e+03
1.115778853777623141e+02,1.385296648607669113e+03
1.155978356262106672e+02,1.385296650320748086e+03
1.219223909465474236e+02,1.385297492427292582e+03
1.255223909465474321e+02,1.385297721124904456e+03
1.305820352028168259e+02,1.385297911371013470e+03
1.361533905136904821e+02,1.385321356979721031e+03
1.424779458340272527e+02,1.385451726578458192e+03
1.481348000835196217e+02,1.385452049583559528e+03
1.530174223298131153e+02,1.385460725740209682e+03
1.575429057294070105e+02,1.385522531606328130e+03
1.631142610402806667e+02,1.386137718463105784e+03
1.679474794297184985e+02,1.389178225804378599e+03
1.731474794297184872e+02,1.389182482449292593e+03
1.791474794297184872e+02,1.389182482504279278e+03
1.811474794297184872e+02,1.389182482504447762e+03
