cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,2.178511084088845973e+00
1.574383386443898658e+01,2.178533584082594565e+00
2.378373436133569641e+01,2.178533676490219673e+00
4.154661701027531251e+01,2.178662678482628401e+00
5.925988887066293387e+01,2.178664716326056627e+00
7.450718371269967122e+01,2.178670013216263968e+00
8.842120541744054663e+01,2.181267705017824632e+00
9.526810252489002551e+01,2.423867727338282929e+00
1.137980782399307884e+02,2.423867901818082871e+00
1.272442672911080734e+02,2.423867909375647667e+00
1.392509321069509838e+02,2.423902505244094563e+00
1.420793592316971683e+02,2.423918378883056945e+00
1.809123349095923459e+02,6.370896384737819972e+03
1.905206646291638037e+02,6.372879557104478408e+03
1.957360265533259280e+02,6.372880384328299442e+03
2.042964003769390047e+02,6.372880384478550695e+03
2.098677556878126609e+02,6.372880678183997588e+03
2.244663857605283965e+02,8.274300520176539067e+03
2.496695601637657944e+02,8.274300531980130472e+03
2.596695601637658228e+02,8.293304588540286204e+03
2.729661762746415548e+02,8.300504159145610174e+03
2.810160209936407796e+02,9.479200855771672650e+03
2.870160209936407796e+02,9.631361669539241120e+03
2.914160209936407568e+02,9.639723454425709861e+03
3.020668425581962424e+02,9.639723455909366749e+03
3.110111144681953874e+02,9.639723493344872622e+03
3.295669760757845097e+02,9.639723493344876260e+03
3.332547938587016461e+02,9.639723493348408738e+03
3.392012213576290378e+02,9.639723739939054212e+03
3.454494210983543780e+02,9.639723747081970942e+03
3.474494210983543780e+02,9.639723747160685889e+03
3.494494210983543780e+02,9.639723749447077353e+03
3.514494210983543780e+02,9.639723749525792300e+03
3.534494210983543780e+02,9.639723751812183764e+03
