cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,3.053200999226642801e-12
1.574383386443898658e+01,5.820233894970119026e-12
2.378373436133569641e+01,7.694329504507815964e-10
4.154661701027531251e+01,6.346459543167626407e+02
5.925988887066293387e+01,6.351639547250633768e+02
7.450718371269967122e+01,2.435833619925086168e+03
8.842120541744054663e+01,2.435944507048538071e+03
9.526810252489002551e+01,2.435944600324251496e+03
1.137980782399307884e+02,4.372525586001313059e+03
1.272442672911080734e+02,4.378886725547043170e+03
1.392509321069509838e+02,4.378886725788552212e+03
1.420793592316971683e+02,4.378886725788724107e+03
1.809123349095923459e+02,1.214548186136776349e+04
1.905206646291638037e+02,1.218950625161363132e+04
1.957360265533259280e+02,1.221435117508580879e+04
2.042964003769390047e+02,1.365696402447188484e+04
2.098677556878126609e+02,1.382102879133504030e+04
2.244663857605283965e+02,1.382102879397930883e+04
2.496695601637657944e+02,1.384721283575507732e+04
2.596695601637658228e+02,1.384721283661670532e+04
2.729661762746415548e+02,1.384721283661670532e+04
2.810160209936407796e+02,1.384721283661670532e+04
2.870160209936407796e+02,1.384721283661707639e+04
2.914160209936407568e+02,1.384721283699619198e+04
3.020668425581962424e+02,1.386737516501443861e+04
3.110111144681953874e+02,1.387036691489833174e+04
3.295669760757845097e+02,1.387036691489833174e+04
3.332547938587016461e+02,1.387036691489833174e+04
3.392012213576290378e+02,1.387036691489833174e+04
3.454494210983543780e+02,1.387036691489833174e+04
3.474494210983543780e+02,1.387036691489833174e+04
3.494494210983543780e+02,1.387036691489833174e+04
3.514494210983543780e+02,1.387036691489833174e+04
3.534494210983543780e+02,1.387036691489833174e+04
