cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.057561166005524633e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.754617440853238897e+00,2.236563176938610281e-19,2.236563176938610281e-19
7.451673715700952272e+00,3.852891619018576367e-18,3.852891619018576367e-18
9.240528097700783761e+00,3.852891619018576367e-18,3.852891619018576367e-18
1.102938247970061525e+01,4.215709842306039795e-18,4.215709842306039795e-18
1.267862472994768019e+01,4.843076637996729271e-18,4.843076637996729271e-18
1.507862472994767877e+01,1.498419622340940663e-15,1.498419622340940663e-15
1.667862472994767842e+01,9.837969654291922769e-14,9.837969654291922769e-14
1.827862472994767984e+01,7.191067347076632702e-12,7.191067347076632702e-12
2.107862472994767700e+01,1.147809499679251035e-08,1.147809499679251035e-08
2.272786698019474372e+01,1.946656018648345220e-07,1.946656018648345220e-07
2.432786698019474514e+01,4.672364753383848102e-06,4.672364753383848102e-06
2.774546847832175800e+01,2.983519611909407274e-04,2.983519611909407274e-04
3.062990949869294965e+01,3.124530813805254993e-04,3.124530813805254993e-04
3.382990949869294894e+01,3.196150759619110593e-04,3.196150759619110593e-04
3.702990949869294468e+01,3.297814995643020002e-04,3.297814995643020002e-04
4.025481259801236433e+01,7.191161255022988788e-04,7.191161255022988788e-04
4.345481259801236718e+01,3.448904282327850800e-03,3.448904282327850800e-03
4.650112184035792495e+01,8.485595184288489967e-02,8.485595184288489967e-02
5.050112184035792495e+01,7.704843436038818716e+00,7.704843436038818716e+00
5.444066496107636510e+01,3.455544519839701678e+01,3.455544519839701678e+01
5.766556806039578476e+01,1.035153531785292103e+02,1.035153531785292103e+02
6.110649816721283401e+01,3.008444466200245415e+02,3.008444466200245415e+02
6.275574041745989717e+01,3.479482473333060852e+02,3.479482473333060852e+02
6.598064351677932393e+01,4.987619706561299040e+02,7.705562401786589817e+02
6.918064351677932677e+01,5.963898242742466209e+02,1.253989614148137434e+03
7.278064351677932109e+01,6.138299312010498170e+02,1.377575409995482232e+03
7.638064351677931541e+01,6.144861370695798541e+02,1.382881589474977545e+03
7.958064351677931825e+01,6.144955702351619493e+02,1.384232224105882324e+03
8.278064351677932109e+01,6.144956191342828333e+02,1.384235976327147910e+03
8.598064351677932393e+01,6.144956192157762871e+02,1.384239225752416814e+03
8.918064351677932677e+01,6.144956192775164254e+02,1.384239261129800980e+03
9.358064351677933246e+01,6.144956457836698291e+02,1.384239263773009498e+03
9.680554661609875211e+01,6.144962749861102793e+02,1.384239264099732509e+03
9.845478886634582238e+01,6.144979009662679346e+02,1.384239264113778518e+03
1.024747391147941755e+02,6.151714898431533811e+02,1.384239264279127610e+03
1.060747391147941698e+02,6.315264134458154786e+02,1.384239330819902534e+03
1.104747391147941755e+02,7.911753827275118738e+02,1.384393619734971026e+03
1.153409491390327588e+02,1.014637942598898803e+03,1.402181973360383381e+03
1.195930074641266145e+02,1.021111106425553658e+03,1.496504521297986003e+03
1.230339375709436638e+02,1.022000398364053353e+03,1.617815282659086506e+03
1.262588406702630834e+02,1.022035523605201206e+03,1.752445802067301656e+03
1.306769850771379993e+02,1.022035547688193788e+03,1.783560094682112322e+03
1.339754695776321398e+02,1.022035547746166230e+03,1.784070094712685659e+03
1.368038967023783243e+02,1.022035549654694819e+03,1.784071468461592303e+03
1.393651463973514524e+02,1.022035789605599234e+03,1.784071469937997563e+03
1.421651463973514637e+02,1.022041322394789290e+03,1.784071469986417696e+03
1.457651463973514581e+02,1.022141006525210628e+03,1.784071475041985877e+03
1.489651463973514467e+02,1.022417448580242990e+03,1.784071481453578144e+03
1.521900494966708663e+02,1.024475990749400808e+03,1.784151811043771659e+03
1.551020934523830590e+02,1.026436655751653007e+03,1.817433704803081355e+03
1.575020934523830647e+02,1.026840482452377273e+03,1.822520814794599119e+03
