cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00
4.057561166005524633e+00,0.000000000000000000e+00
5.754617440853238897e+00,8.484321484839100606e-20
7.451673715700952272e+00,3.426220478577057242e-18
9.240528097700783761e+00,3.577654790544020042e-18
1.102938247970061525e+01,3.577654790544020042e-18
1.267862472994768019e+01,3.577654790544020042e-18
1.507862472994767877e+01,3.577654790544020042e-18
1.667862472994767842e+01,3.964876273830474934e-18
1.827862472994767984e+01,6.849860111360642693e-17
2.107862472994767700e+01,3.995683939046467415e-13
2.272786698019474372e+01,1.915729801476369974e-11
2.432786698019474514e+01,1.020038856385668242e-09
2.774546847832175800e+01,1.802132658714118415e-08
3.062990949869294965e+01,2.347959969869498586e-08
3.382990949869294894e+01,1.634084009270396544e-07
3.702990949869294468e+01,1.206570451925156151e-06
4.025481259801236433e+01,6.910298896846090997e-06
4.345481259801236718e+01,1.124587496058517355e-05
4.650112184035792495e+01,9.966348640405794674e-04
5.050112184035792495e+01,5.115129326375452701e-01
5.444066496107636510e+01,2.590924553964144650e+01
5.766556806039578476e+01,2.199040508841016504e+02
6.110649816721283401e+01,6.805686799361299109e+02
6.275574041745989717e+01,9.682026868288810419e+02
6.598064351677930972e+01,1.154590846793968240e+03
6.918064351677929835e+01,1.208830520116446678e+03
7.275835228077896488e+01,1.219545589059096528e+03
7.669789540149740503e+01,1.219845179151203865e+03
8.038571318441455560e+01,1.219849087253800917e+03
8.480385759128945722e+01,1.219849088546170606e+03
8.880385759128945722e+01,1.219849092850661236e+03
9.311198943699706376e+01,1.219850515540379320e+03
9.758412539199665048e+01,1.219851819579625953e+03
1.006304346343422083e+02,1.219851892818835040e+03
1.022304346343422026e+02,1.219851914213404143e+03
1.054553377336616222e+02,1.219859696394611319e+03
1.088494502833570436e+02,1.220391518698132586e+03
1.134101519837535932e+02,1.289767718052057944e+03
1.177182838294611997e+02,1.840616660051937743e+03
1.209431869287806194e+02,2.457130875551994905e+03
1.225924291790276897e+02,2.736768458401629232e+03
1.260100306771547025e+02,3.187560602415653648e+03
1.300100306771547025e+02,3.252892006367629165e+03
1.348100306771547139e+02,3.253503690693001317e+03
1.387698286517993722e+02,3.253510476983960871e+03
1.430779604975069788e+02,3.253510549891598203e+03
1.485185487010011514e+02,3.253510549918507877e+03
1.520962574650008037e+02,3.253510549990869094e+03
1.549806984853719882e+02,3.253510550769317888e+03
1.601960604095341125e+02,3.253521855046129531e+03
1.654114223336962368e+02,3.257942628817237164e+03
1.698835582886958093e+02,3.276511032136709218e+03
1.715328005389428654e+02,3.297451620729122169e+03
1.759509449458177812e+02,3.645995781459973841e+03
1.807509449458177926e+02,3.662258553541540550e+03
1.861915331493119652e+02,3.836406207290564907e+03
1.890759741696831497e+02,3.931633125506281431e+03
1.930759741696831497e+02,3.954661369157162426e+03
1.978759741696831611e+02,3.997785145523402207e+03
2.030759741696831497e+02,4.678650866580225738e+03
2.066536829336828021e+02,5.341200523086069552e+03
2.104484161258848474e+02,5.547292046538929753e+03
2.153310383721783410e+02,5.558769547450177015e+03
2.201310383721783523e+02,5.558799048055591811e+03
2.240908363468230107e+02,5.558799315425210807e+03
2.270028803025352317e+02,5.558799316122240270e+03
2.307764727553578723e+02,5.558799316133062348e+03
2.356426827795964414e+02,5.558799316133326101e+03
2.380426827795964471e+02,5.558799316133344291e+03
