cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00
4.057561166005524633e+00,3.848963416129741637e-18
5.754617440853238897e+00,7.075707414604317453e-16
7.451673715700952272e+00,9.150471165921189831e-14
9.240528097700783761e+00,2.434519585416964211e-13
1.102938247970061525e+01,2.513767804465105541e-13
1.267862472994768019e+01,2.516428223531269431e-13
1.507862472994767877e+01,4.233828489407711319e-13
1.667862472994767842e+01,8.864963143170730243e-12
1.827862472994767984e+01,4.859066626454505096e-10
2.107862472994767700e+01,4.918450364995440263e-07
2.272786698019474372e+01,9.068165601051817983e-06
2.432786698019474514e+01,1.710657710851833915e-04
2.774546847832175800e+01,7.179820891098810795e-04
3.062990949869294965e+01,7.223879581844009712e-04
3.382990949869294894e+01,8.418438070033455473e-04
3.702990949869294468e+01,2.645160311382369414e-02
4.025481259801236433e+01,1.798009201756300302e+00
4.345481259801236718e+01,4.056001052690135822e+01
4.650112184035792495e+01,4.847074288208240489e+01
5.050112184035792495e+01,4.957165552053371727e+01
5.444066496107636510e+01,4.957789584022065554e+01
5.766556806039578476e+01,4.957799801571095344e+01
6.110649816721283401e+01,4.957800423011758539e+01
6.275574041745989717e+01,4.957800434584107308e+01
6.598064351677930972e+01,4.957803548551454043e+01
6.918064351677929835e+01,4.958455033803436152e+01
7.275835228077896488e+01,4.975699920858890124e+01
7.669789540149740503e+01,5.122713437592980767e+01
8.038571318441455560e+01,1.015935458763379415e+02
8.480385759128945722e+01,3.096454292353815845e+02
8.880385759128945722e+01,1.056744758787071305e+03
9.311198943699706376e+01,1.521748254091215131e+03
9.758412539199665048e+01,1.758568432422975548e+03
1.006304346343422083e+02,1.965454616179433742e+03
1.022304346343422026e+02,2.088514089815982061e+03
1.054553377336616222e+02,2.695207610251779897e+03
1.088494502833570436e+02,3.184922120478838679e+03
1.134101519837535932e+02,3.263521246024356969e+03
1.177182838294611997e+02,3.264645034617673446e+03
1.209431869287806194e+02,3.264696229660417430e+03
1.225924291790276897e+02,3.264698294487982366e+03
1.260100306771547025e+02,3.264702546863285988e+03
1.300100306771547025e+02,3.264702737696065469e+03
1.348100306771547139e+02,3.264702786045771518e+03
1.387698286517993722e+02,3.264703751576377272e+03
1.430779604975069788e+02,3.264765057898097893e+03
1.485185487010011514e+02,3.265969425421757023e+03
1.520962574650008037e+02,3.266358368933892052e+03
1.549806984853719882e+02,3.266370925767747849e+03
1.601960604095341125e+02,3.266778086885942230e+03
1.654114223336962368e+02,3.267133632439443772e+03
1.698835582886958093e+02,3.267134100952333938e+03
1.715328005389428654e+02,3.267134285667505537e+03
1.759509449458177812e+02,3.267136419182380450e+03
1.807509449458177926e+02,3.269331543847635203e+03
1.861915331493119652e+02,3.453519096656986221e+03
1.890759741696831497e+02,3.815832504604464702e+03
1.930759741696831497e+02,3.874034362872020665e+03
1.978759741696831611e+02,3.874537398392941668e+03
2.030759741696831497e+02,3.874537543297170487e+03
2.066536829336828021e+02,3.874537543552492025e+03
2.104484161258848474e+02,3.874537543718369307e+03
2.153310383721783410e+02,3.874537738336277471e+03
2.201310383721783523e+02,3.874537815608830897e+03
2.240908363468230107e+02,3.874537815650775428e+03
2.270028803025352317e+02,3.874537815651178789e+03
2.307764727553578723e+02,3.874537815706989477e+03
2.356426827795964414e+02,3.874538331518283940e+03
2.380426827795964471e+02,3.874551356864448280e+03
