cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,1.999052520181608515e-18
1.574383386443898658e+01,1.999052520181608515e-18
2.378373436133569641e+01,1.999052520181608515e-18
4.154661701027531251e+01,2.113021086596065105e-05
5.925988887066293387e+01,1.019619397747710423e+03
7.450718371269967122e+01,1.019619717134680172e+03
8.842120541744054663e+01,1.019619717135810106e+03
9.526810252489002551e+01,1.019619717135810106e+03
1.137980782399307884e+02,1.019619768210922871e+03
1.272442672911080734e+02,1.194167704511997044e+03
1.392509321069509838e+02,2.681225957675871086e+03
1.420793592316971683e+02,2.759589339020583793e+03
1.809123349095923459e+02,2.759674084124642377e+03
1.905206646291638037e+02,3.063135151536991998e+03
1.957360265533259280e+02,3.133773006935780813e+03
2.042964003769390047e+02,3.133788318761871324e+03
2.098677556878126609e+02,3.133788368148922928e+03
2.244663857605283965e+02,3.133788471476783798e+03
2.496695601637657944e+02,3.133788471550203667e+03
2.596695601637658228e+02,3.133788471550203667e+03
2.729661762746415548e+02,3.133788471550203667e+03
2.810160209936407796e+02,3.133788471550203667e+03
2.870160209936407796e+02,3.133788471550203667e+03
2.914160209936407568e+02,3.133788471550203667e+03
3.020668425581962424e+02,3.133788471589999062e+03
3.110111144681953874e+02,3.133788471590060908e+03
3.295669760757845097e+02,3.133788471590060908e+03
3.332547938587016461e+02,3.133788471590060908e+03
3.392012213576290378e+02,3.133788471590060908e+03
3.454494210983543780e+02,3.133788471590060908e+03
3.474494210983543780e+02,3.133788471590060908e+03
3.543544916990072124e+02,3.133788471590060908e+03
3.655616322799047566e+02,3.133788471590060908e+03
3.872540272606347571e+02,3.133811428515228272e+03
3.965835502923872582e+02,3.254920018143689504e+03
4.057922418389643440e+02,5.096658327459103930e+03
4.077922418389643440e+02,5.496658327459103930e+03
4.097922418389643440e+02,5.896658327459103930e+03
