cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
1.954788991170146772e+01,1.092863268949566301e-03
3.758784556574895674e+01,6.791006496583073613e+02
5.790926283915781880e+01,6.791006515397410794e+02
7.829357052914326687e+01,9.521451606210412137e+02
8.950071111004078261e+01,1.526394462030463728e+03
1.092997009832641169e+02,1.526394462032314095e+03
1.283700968889604610e+02,1.532237229386377521e+03
1.420229354216612592e+02,1.532237936762023764e+03
1.476797896711536282e+02,1.532248576968215275e+03
1.536797896711536282e+02,1.552636456253124834e+03
1.576997399196019956e+02,1.574958152148734598e+03
1.783491951182264756e+02,1.636811054274695607e+03
1.912301888687101723e+02,1.636811054586289174e+03
1.982158885473393752e+02,1.636811054586314413e+03
2.061858320854078954e+02,1.636811054586314413e+03
2.247976562840188421e+02,1.636811107269869126e+03
2.347976562840188421e+02,1.689896067282487365e+03
2.411222116043556127e+02,1.863356851247926897e+03
2.523222116043556298e+02,1.928740168879958674e+03
2.583753099845242787e+02,2.179180301251383753e+03
2.852498332361096232e+02,2.179180301251383753e+03
2.880782603608558361e+02,2.179180301251383753e+03
2.930259871115970327e+02,2.179180301251384662e+03
2.974259871115970100e+02,2.179180301251476521e+03
3.044231293854113574e+02,2.179180309918765943e+03
3.158002995080736923e+02,2.303948045882999850e+03
3.332725632423469619e+02,2.303949338344385069e+03
3.392725632423469619e+02,2.303949635854583448e+03
3.458330510290896314e+02,2.303954508638311836e+03
3.552479328658415056e+02,2.303954508639761571e+03
