cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,5.764175231506492596e-05
1.574383386443898658e+01,3.830060634237176131e+00
2.378373436133569641e+01,1.143742004151741867e+03
4.154661701027531251e+01,1.159612762335598973e+03
5.925988887066293387e+01,1.160266981540931965e+03
7.450718371269967122e+01,1.207491571634379397e+03
8.842120541744054663e+01,1.207491722784907097e+03
9.526810252489002551e+01,1.207491722802864842e+03
1.137980782399307884e+02,1.213668672938931877e+03
1.272442672911080734e+02,1.694627909112451107e+03
1.392509321069509838e+02,1.706508801186539358e+03
1.420793592316971683e+02,1.707877531800751512e+03
1.809123349095923459e+02,1.707877531800751512e+03
1.905206646291638037e+02,1.707877575888438969e+03
1.957360265533259280e+02,1.708019641963541744e+03
2.042964003769390047e+02,1.815995702042442872e+03
2.098677556878126609e+02,1.830174563771091243e+03
2.244663857605283965e+02,2.202779623485058892e+03
2.496695601637657944e+02,2.202784231305959565e+03
2.596695601637658228e+02,2.202786272467134950e+03
2.729661762746415548e+02,2.212756236153231384e+03
2.810160209936407796e+02,2.212756670234046396e+03
2.870160209936407796e+02,2.212791538673790910e+03
2.914160209936407568e+02,2.212792436784708116e+03
3.020668425581962424e+02,2.212795395938692309e+03
3.110111144681953874e+02,2.213671251258506345e+03
3.295669760757845097e+02,2.234016615719274341e+03
3.332547938587016461e+02,2.254539625958540455e+03
3.392012213576290378e+02,2.254668414110447884e+03
3.454494210983543780e+02,2.254668422239357824e+03
3.474494210983543780e+02,2.254668443965209917e+03
3.494494210983543780e+02,2.254668446567210594e+03
3.514494210983543780e+02,2.254668468293062688e+03
3.534494210983543780e+02,2.254668470895063365e+03
