cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00
4.057561166005524633e+00,0.000000000000000000e+00
5.754617440853238897e+00,3.183718149156443237e-18
7.451673715700952272e+00,2.316487297250439211e-16
9.240528097700783761e+00,2.660260367629918878e-16
1.102938247970061525e+01,2.662639291969181948e-16
1.267862472994768019e+01,2.662639291969181948e-16
1.507862472994767877e+01,2.662639291969181948e-16
1.667862472994767842e+01,2.662639291969181948e-16
1.827862472994767984e+01,2.662639291969181948e-16
2.107862472994767700e+01,2.929401887131793738e-16
2.272786698019474372e+01,8.757167578049924115e-16
2.432786698019474514e+01,3.040232511886889931e-14
2.774546847832175800e+01,9.297721949361636209e-11
3.062990949869294965e+01,1.190319725076598988e-10
3.382990949869294894e+01,4.803593731502121760e-10
3.702990949869294468e+01,2.821260843130138969e-09
4.025481259801236433e+01,3.481078122972681342e-07
4.345481259801236718e+01,6.550971378493447789e-05
4.650112184035792495e+01,6.728270619663152450e-05
5.050112184035792495e+01,3.392957671797112561e-03
5.444066496107636510e+01,8.156170613188226115e-01
5.766556806039578476e+01,1.872263127929086224e+01
6.110649816721283401e+01,9.672179227487377773e+01
6.275574041745989717e+01,1.897016891080004939e+02
6.598064351677930972e+01,2.094920004512703144e+02
6.918064351677929835e+01,2.113379539659774480e+02
7.275835228077896488e+01,2.114974984864970224e+02
7.669789540149740503e+01,2.114991913869945961e+02
8.038571318441455560e+01,2.114991991997653997e+02
8.480385759128945722e+01,2.115013625405875928e+02
8.880385759128945722e+01,2.116182389455061355e+02
9.311198943699706376e+01,2.185524042092775971e+02
9.758412539199665048e+01,2.237561474003571220e+02
1.006304346343422083e+02,2.241640286050562167e+02
1.022304346343422026e+02,2.242552889092333430e+02
1.054553377336616222e+02,2.279335469163040955e+02
1.088494502833570436e+02,3.036481621629116603e+02
1.134101519837535932e+02,9.482813918711192400e+02
1.177182838294611997e+02,1.461875438279062564e+03
1.209431869287806194e+02,1.798809551545570230e+03
1.225924291790276897e+02,2.002730446063078489e+03
1.260100306771547025e+02,2.131335516239149911e+03
1.300100306771547025e+02,2.151353246816830506e+03
1.348100306771547139e+02,2.151725292457321757e+03
1.387698286517993722e+02,2.151767392669164565e+03
1.430779604975069788e+02,2.151775890173532389e+03
1.485185487010011514e+02,2.151776021048560779e+03
1.520962574650008037e+02,2.151776021390302958e+03
1.549806984853719882e+02,2.151776021391803170e+03
1.601960604095341125e+02,2.151776068294933793e+03
1.654114223336962368e+02,2.151826935016539665e+03
1.698835582886958093e+02,2.152773883164667950e+03
1.715328005389428654e+02,2.154812727829593769e+03
1.759509449458177812e+02,2.330143803210217811e+03
1.807509449458177926e+02,2.349369328533324733e+03
1.861915331493119652e+02,2.349584511269744780e+03
1.890759741696831497e+02,2.349586140394094855e+03
1.930759741696831497e+02,2.350120822599709300e+03
1.978759741696831611e+02,2.393482332257261987e+03
2.030759741696831497e+02,2.644411434131652186e+03
2.066536829336828021e+02,2.875908622873446802e+03
2.104484161258848474e+02,2.930695968475469272e+03
2.153310383721783410e+02,2.931213955146886292e+03
2.201310383721783523e+02,2.931214478699896972e+03
2.240908363468230107e+02,2.931214486149906861e+03
2.270028803025352317e+02,2.931214486164882146e+03
2.307764727553578723e+02,2.931214486164932623e+03
2.356426827795964414e+02,2.931214486164965365e+03
2.380426827795964471e+02,2.931214486169991687e+03
