cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.996542407277915688e-18,1.996542407277915688e-18
4.057561166005524633e+00,2.267549523397248445e-16,2.267549523397248445e-16
5.754617440853238897e+00,2.498561367042219705e-14,2.498561367042219705e-14
7.451673715700952272e+00,1.949668860941553216e-12,1.949668860941553216e-12
9.240528097700783761e+00,3.033795799866213488e-12,3.033795799866213488e-12
1.102938247970061525e+01,3.060421145641380836e-12,3.060421145641380836e-12
1.267862472994768019e+01,3.060747622616212191e-12,3.060747622616212191e-12
1.507862472994767877e+01,3.062456513696535603e-12,3.062456513696535603e-12
1.667862472994767842e+01,3.064347986476626538e-12,3.064347986476626538e-12
1.827862472994767984e+01,3.068968933315929207e-12,3.068968933315929207e-12
2.107862472994767700e+01,1.346255117056663311e-11,1.346255117056663311e-11
2.272786698019474372e+01,3.698591510119106098e-10,3.698591510119106098e-10
2.432786698019474514e+01,1.603298163301942824e-08,1.603298163301942824e-08
2.774546847832175800e+01,4.007350573442064922e-07,4.007350573442064922e-07
3.062990949869294965e+01,4.052881667498291560e-07,4.052881667498291560e-07
3.382990949869294894e+01,1.717361124352538575e-06,1.717361124352538575e-06
3.702990949869294468e+01,4.901904204162638081e-04,4.901904204162638081e-04
4.025481259801236433e+01,4.671438376057499009e-02,4.671438376057499009e-02
4.345481259801236718e+01,1.801664440240239085e+00,1.801664440240239085e+00
4.650112184035792495e+01,1.856803841318830806e+00,1.856803841318830806e+00
5.050112184035792495e+01,1.857515693874639551e+00,1.857515693874639551e+00
5.444066496107636510e+01,1.857531325678221545e+00,1.857531325678221545e+00
5.766556806039578476e+01,1.857671197558786957e+00,1.857671197558786957e+00
6.110649816721283401e+01,1.857701840765679790e+00,1.857701840765679790e+00
6.275574041745989717e+01,1.857748371171380031e+00,1.857748371171380031e+00
6.693186302102411389e+01,1.960109947553727583e+00,1.858283008507297884e+00
6.997817226336968588e+01,2.113511494697149828e+00,1.858894579275109482e+00
7.397817226336968588e+01,1.554587904556266764e+01,1.858929847462653440e+00
7.757817226336968019e+01,1.313970974101896161e+02,1.860135525944285551e+00
8.077817226336968304e+01,3.605807668201410934e+02,2.138758871693676511e+00
8.237817226336967735e+01,4.721572032646072330e+02,1.899986200650263868e+01
8.637817226336967735e+01,6.470781169345759736e+02,1.395722897672021077e+02
9.037817226336967735e+01,6.656173557962105178e+02,5.185857639636369640e+02
9.477817226336966883e+01,6.658389245056666823e+02,5.671960739211801865e+02
9.835588102736933536e+01,6.658396335322856885e+02,5.690402027084179508e+02
1.019335897913690019e+02,6.658396703097572527e+02,5.692263553542574073e+02
1.051335897913690047e+02,6.658397018545831543e+02,5.701927026387520527e+02
1.087112985553686713e+02,6.658403385548650704e+02,5.871419056680630320e+02
1.126710965300133296e+02,6.661395106466364950e+02,6.084006026658040582e+02
1.175043149194511614e+02,7.183248796948984136e+02,6.118863513141880048e+02
1.219043149194511670e+02,9.096984884835546836e+02,6.119278065602625247e+02
1.267209527509680953e+02,1.012581686535557196e+03,6.119311960999990561e+02
1.299458558502875007e+02,1.023522296419479858e+03,6.121388730726565655e+02
1.329921650926330585e+02,1.023876720497922292e+03,6.125817709546886363e+02
1.376569266085093091e+02,1.024004943855076817e+03,6.126862507931074333e+02
1.410510391582047305e+02,1.026146070001504995e+03,6.129306476656558971e+02
1.442759422575241501e+02,1.066826536863925412e+03,6.140233816969545160e+02
1.482759422575241501e+02,1.078995847772082016e+03,6.147640839413269305e+02
1.530925800890410642e+02,1.079181030532079149e+03,6.147911842530629656e+02
1.551321878944781929e+02,1.079190380360201061e+03,6.147914078146484371e+02
1.568292441693259036e+02,1.079193761328803021e+03,6.147922664190452906e+02
1.600541472686453233e+02,1.079702167716809981e+03,6.147923556331327291e+02
1.646148489690418728e+02,1.145001924021826426e+03,6.147929808543209447e+02
1.691755506694384223e+02,1.158877073259697454e+03,6.147950943284585037e+02
1.735755506694384280e+02,1.216903244097717788e+03,6.150175767271908853e+02
1.771977047246934092e+02,1.260125663606478383e+03,6.451817681589097901e+02
1.805918172743888306e+02,1.318178146075427094e+03,1.300591184033192803e+03
1.843865504665908759e+02,1.324601395964162748e+03,1.501738465400228506e+03
1.877806630162862973e+02,1.328939177184215851e+03,1.676659379070197247e+03
1.910055661156057170e+02,1.396459382826819365e+03,1.688132291774771829e+03
1.949451092363241571e+02,1.658403750615391345e+03,1.688161957996698447e+03
1.978571531920363498e+02,1.841158450116572567e+03,1.688162164832991039e+03
2.011556376925304903e+02,1.988172842192091821e+03,1.688162600895407422e+03
2.040676816482426830e+02,2.007116669580907228e+03,1.688772154742527846e+03
2.084858260551175988e+02,2.188491347389884140e+03,1.759669914798703303e+03
2.131677060194054434e+02,2.251202871282981050e+03,1.860482215001001123e+03
2.155677060194054491e+02,2.263512555372522911e+03,1.957491964168936192e+03
2.205796916538621133e+02,2.307045556103445506e+03,2.472970064174894560e+03
2.248878234995697198e+02,2.309795121291123905e+03,3.057316420389716313e+03
2.283287536063867549e+02,2.346541081433687395e+03,3.167665327614472517e+03
