cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00
4.057561166005524633e+00,0.000000000000000000e+00
5.754617440853238897e+00,8.484321484839100606e-20
7.451673715700952272e+00,3.426220478577057242e-18
9.240528097700783761e+00,3.577654790544020042e-18
1.102938247970061525e+01,3.577654790544020042e-18
1.267862472994768019e+01,3.577654790544020042e-18
1.507862472994767877e+01,3.577654790544020042e-18
1.667862472994767842e+01,3.964876273830474934e-18
1.827862472994767984e+01,6.849860111360642693e-17
2.107862472994767700e+01,3.995683939046467415e-13
2.272786698019474372e+01,1.915729801476369974e-11
2.432786698019474514e+01,1.020038856385668242e-09
2.774546847832175800e+01,1.802132658714118415e-08
3.062990949869294965e+01,2.347959969869498586e-08
3.382990949869294894e+01,1.634084009270396544e-07
3.702990949869294468e+01,1.206570451925156151e-06
4.025481259801236433e+01,6.910298896846090997e-06
4.345481259801236718e+01,1.124587496058517355e-05
4.707696665326733410e+01,1.193058614889828596e-05
5.027696665326733694e+01,1.904409774695949901e-05
5.387696665326733125e+01,1.105399246812075462e-04
5.707696665326733410e+01,3.229474080084403708e-04
6.027696665326733694e+01,5.007597497585950875e-04
6.187696665326733836e+01,5.538517359780126444e-04
6.517545115376147180e+01,5.539803189198272112e-04
6.861638126057852105e+01,5.539808070452672357e-04
7.221638126057851537e+01,5.539853742996756749e-04
7.646843958567237109e+01,5.755957930173655679e-04
7.951474882801794308e+01,5.817112179287921465e-04
8.271474882801794593e+01,5.924685744214557882e-04
8.591474882801793456e+01,5.988925314657830151e-04
8.913965192733735421e+01,6.330927087425400552e-04
9.233965192733735705e+01,6.354929994547474587e-04
9.593965192733735137e+01,6.355288236353248774e-04
9.973438511953939667e+01,6.375752477513461653e-04
1.037343851195393967e+02,7.045214708459658940e-04
1.073343851195394052e+02,7.083955124420848693e-04
1.116425169652470117e+02,7.090570833541988936e-04
1.152425169652470061e+02,8.015748511346563457e-04
1.200591547967639201e+02,8.338435765673494387e-04
1.248591547967639173e+02,1.335193824017393525e-03
1.280591547967639201e+02,1.838263526648208253e-03
1.332591547967639087e+02,2.074306605972607749e-03
1.384591547967638974e+02,2.077684822340520546e-03
1.429846381963577926e+02,2.077687087616732382e-03
1.469846381963577926e+02,2.078766601915279892e-03
1.522000001205199169e+02,1.338304341334430048e-02
1.567607018209164664e+02,1.567755093393027765e+00
1.610688336666240730e+02,7.459015017936060588e+01
1.646465424306237253e+02,3.670472098721211296e+02
1.689546742763313318e+02,4.603533512635016791e+02
1.729546742763313318e+02,4.676426612367448570e+02
1.777546742763313432e+02,6.393309872863308101e+02
1.822801576759252384e+02,8.131064556380812292e+02
1.858578664399249192e+02,8.292341824464062938e+02
1.901659982856325257e+02,8.294259529247104865e+02
1.949659982856325371e+02,8.294260393113371492e+02
1.985437070496321894e+02,8.294260403578675778e+02
2.033437070496322008e+02,8.294261148459041806e+02
2.081603448811491148e+02,8.294261377119721601e+02
2.129603448811491262e+02,8.294265774564571529e+02
2.158723888368613473e+02,8.294575850902634784e+02
2.207550110831548409e+02,8.391582480747622412e+02
2.255550110831548523e+02,1.178993539157293981e+03
2.298070694082487080e+02,1.537010962990374537e+03
