cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00
4.057561166005524633e+00,0.000000000000000000e+00
5.754617440853238897e+00,2.236563176938610281e-19
7.451673715700952272e+00,3.852891619018576367e-18
9.240528097700783761e+00,3.852891619018576367e-18
1.102938247970061525e+01,4.215709842306039795e-18
1.267862472994768019e+01,4.843076637996729271e-18
1.507862472994767877e+01,1.498419622340940663e-15
1.667862472994767842e+01,9.837969654291922769e-14
1.827862472994767984e+01,7.191067347076632702e-12
2.107862472994767700e+01,1.147809499679251035e-08
2.272786698019474372e+01,1.946656018648345220e-07
2.432786698019474514e+01,4.672364753383848102e-06
2.774546847832175800e+01,2.983519611909407274e-04
3.062990949869294965e+01,3.124530813805254993e-04
3.382990949869294894e+01,3.196150759619110593e-04
3.702990949869294468e+01,3.297814995643020002e-04
4.025481259801236433e+01,7.191161255022988788e-04
4.345481259801236718e+01,3.448904282327850800e-03
4.650112184035792495e+01,8.485595184288489967e-02
5.050112184035792495e+01,7.704843436038818716e+00
5.444066496107636510e+01,3.455544519839701678e+01
5.766556806039578476e+01,1.035153531785292103e+02
6.110649816721283401e+01,3.008444466200245415e+02
6.275574041745989717e+01,3.479482473333060852e+02
6.598064351677930972e+01,7.705562401786589817e+02
6.918064351677929835e+01,1.253989614148137434e+03
7.275835228077896488e+01,1.377575409995482232e+03
7.669789540149740503e+01,1.382881589474977545e+03
8.038571318441455560e+01,1.384232224105882324e+03
8.480385759128945722e+01,1.384235976327147910e+03
8.880385759128945722e+01,1.384239225752416814e+03
9.311198943699706376e+01,1.384239261129800980e+03
9.758412539199665048e+01,1.384239263773009498e+03
1.006304346343422083e+02,1.384239264099732509e+03
1.022304346343422026e+02,1.384239264113778518e+03
1.054553377336616222e+02,1.384239264279127610e+03
1.088494502833570436e+02,1.384239330819902534e+03
1.134101519837535932e+02,1.384393619734971026e+03
1.177182838294611997e+02,1.402181973360383381e+03
1.209431869287806194e+02,1.496504521297986003e+03
1.225924291790276897e+02,1.617815282659086506e+03
1.260100306771547025e+02,1.752445802067301656e+03
1.300100306771547025e+02,1.783560094682112322e+03
1.348100306771547139e+02,1.784070094712685659e+03
1.387698286517993722e+02,1.784071468461592303e+03
1.430779604975069788e+02,1.784071469937997563e+03
1.485185487010011514e+02,1.784071469986417696e+03
1.520962574650008037e+02,1.784071475041985877e+03
1.549806984853719882e+02,1.784071481453578144e+03
1.601960604095341125e+02,1.784151811043771659e+03
1.654114223336962368e+02,1.817433704803081355e+03
1.698835582886958093e+02,1.822520814794599119e+03
1.715328005389428654e+02,1.826304877748051467e+03
1.759509449458177812e+02,1.867851047236614704e+03
1.807509449458177926e+02,2.485958991829835213e+03
1.861915331493119652e+02,3.226575030963445442e+03
1.890759741696831497e+02,3.367222931094753221e+03
1.930759741696831497e+02,4.090891823793826006e+03
1.978759741696831611e+02,4.491666363384436409e+03
2.030759741696831497e+02,4.520246707781150690e+03
2.066536829336828021e+02,4.602522499096818137e+03
2.104484161258848474e+02,4.788743546618732580e+03
2.153310383721783410e+02,5.341299854947184940e+03
2.201310383721783523e+02,5.381111342661622075e+03
2.240908363468230107e+02,5.381872654791098284e+03
2.270028803025352317e+02,5.381882507098169299e+03
2.307764727553578723e+02,5.381884918507134898e+03
2.356426827795964414e+02,5.381885716623526605e+03
2.380426827795964471e+02,5.381885867341109588e+03
