cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
1.954788991170146772e+01,1.092863268949566301e-03
3.758784556574895674e+01,6.791006496583073613e+02
5.482965521555080102e+01,3.012217272773976674e+03
7.005069328790315808e+01,3.216100619286403344e+03
9.081990126509863615e+01,3.216100621057512853e+03
1.115891092422941142e+02,3.494300807317790259e+03
1.163891092422941114e+02,3.497163678240195622e+03
1.248743906165326791e+02,3.501421884101323030e+03
1.337106794302824824e+02,3.501421896831736831e+03
1.385768894545210514e+02,3.501421896848611141e+03
1.770102083328068545e+02,9.906732270412823709e+03
1.890168731486497506e+02,1.086845668696195389e+04
2.076630523819404175e+02,1.346700604083777580e+04
2.206183601745017313e+02,1.346846948864143451e+04
2.314257650433867752e+02,1.550605563364793488e+04
2.365482644333330597e+02,1.591021972398424259e+04
2.432534862790291470e+02,1.591370603045591815e+04
2.519068093401427291e+02,1.591370690416159414e+04
2.579068093401427291e+02,1.591370701120412923e+04
2.630293087300889852e+02,1.591371081592604787e+04
2.695897965168316546e+02,1.591371114122805193e+04
2.789535564454073437e+02,1.591374862438857235e+04
2.899371806196041348e+02,1.600913323615235822e+04
2.958431098436975049e+02,1.600935828982574822e+04
3.044314740651310558e+02,1.600935829003350227e+04
3.119040907420388180e+02,1.600935829003350955e+04
3.203136091586902694e+02,1.600935829003350955e+04
3.301928803868730711e+02,1.600935829003350955e+04
3.351406071376142677e+02,1.600935829003351137e+04
3.604198476325341858e+02,1.665840090549128217e+04
3.702991188607169875e+02,1.687079651909223321e+04
