cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000888e+00,9.229492044416117446e-17
6.224903099319419653e+00,8.709935447323046781e-13
8.378969022173221148e+00,1.114224697325030820e-11
1.117896902217322008e+01,1.355730069167427341e-08
1.317896902217322008e+01,8.104998237567307695e-07
1.533303494502702158e+01,3.646711152727325812e-05
1.733303494502702335e+01,8.380829674733365547e-04
1.937264275046413786e+01,2.176883765893950981e-02
2.137264275046413786e+01,3.343060514954162565e-01
2.467112725095826420e+01,5.116972220419999662e-01
2.867112725095826420e+01,5.547547880658795227e-01
3.267112725095826420e+01,5.565017594363768083e-01
3.661067037167670435e+01,5.565044165830781431e-01
3.973477024203936736e+01,5.565071194061808058e-01
4.420690619703894697e+01,5.565770980146035329e-01
4.845896452213280270e+01,6.344599677452547049e-01
5.257721657852760444e+01,7.122580711430518408e-01
5.637194977072965685e+01,1.651012674860258267e+00
6.039190001917800998e+01,2.615130459235336158e+00
6.433144313989645013e+01,3.571209858276779947e+00
6.873144313989645582e+01,7.433634275354742726e+01
7.193144313989645866e+01,3.579404529455151760e+02
7.593144313989645866e+01,9.622316355143634610e+02
7.833144313989646434e+01,1.174934718156719555e+03
8.319765316413503342e+01,1.203344794488837124e+03
8.697124561695767397e+01,1.205434243447550898e+03
9.241183382045184658e+01,1.205436669028196775e+03
9.742381945490851081e+01,1.205436669308901855e+03
9.957788537776231408e+01,1.205436669310402976e+03
1.055778853777623141e+02,1.205436669310402976e+03
1.115778853777623141e+02,1.205436669310402976e+03
1.155978356262106672e+02,1.205436669310402976e+03
1.219223909465474236e+02,1.205436669310402976e+03
1.255223909465474321e+02,1.205436669310402976e+03
1.305820352028168259e+02,1.205436669310402976e+03
1.361533905136904821e+02,1.205436669310402976e+03
1.424779458340272527e+02,1.205436669477475334e+03
1.464779458340272527e+02,1.205436761019409914e+03
1.520493011449009089e+02,1.205450772623988996e+03
1.576493011449009032e+02,1.206677928400739120e+03
1.633061553943932722e+02,1.345126421857416972e+03
1.688775107052669284e+02,2.339304006591572033e+03
1.748775107052669284e+02,2.927343978909883390e+03
1.768775107052669284e+02,3.025641611027430372e+03
