cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.057561166005524633e+00,3.848963416129741637e-18,3.848963416129741637e-18
5.754617440853238897e+00,7.075707414604317453e-16,7.075707414604317453e-16
7.451673715700952272e+00,9.150471165921189831e-14,9.150471165921189831e-14
9.240528097700783761e+00,2.434519585416964211e-13,2.434519585416964211e-13
1.102938247970061525e+01,2.513767804465105541e-13,2.513767804465105541e-13
1.267862472994768019e+01,2.516428223531269431e-13,2.516428223531269431e-13
1.507862472994767877e+01,4.233828489407711319e-13,4.233828489407711319e-13
1.667862472994767842e+01,8.864963143170730243e-12,8.864963143170730243e-12
1.827862472994767984e+01,4.859066626454505096e-10,4.859066626454505096e-10
2.107862472994767700e+01,4.918450364995440263e-07,4.918450364995440263e-07
2.272786698019474372e+01,9.068165601051817983e-06,9.068165601051817983e-06
2.432786698019474514e+01,1.710657710851833915e-04,1.710657710851833915e-04
2.774546847832175800e+01,7.179820891098810795e-04,7.179820891098810795e-04
3.062990949869294965e+01,7.223879581844009712e-04,7.223879581844009712e-04
3.382990949869294894e+01,8.418438070033455473e-04,8.418438070033455473e-04
3.702990949869294468e+01,2.645160311382369414e-02,2.645160311382369414e-02
4.025481259801236433e+01,1.798009201756300302e+00,1.798009201756300302e+00
4.345481259801236718e+01,4.056001052690135822e+01,4.056001052690135822e+01
4.650112184035792495e+01,4.847074288208240489e+01,4.847074288208240489e+01
5.050112184035792495e+01,4.957165552053371727e+01,4.957165552053371727e+01
5.444066496107636510e+01,4.957789584022065554e+01,4.957789584022065554e+01
5.766556806039578476e+01,4.957799801571095344e+01,4.957799801571095344e+01
6.110649816721283401e+01,4.957800423011758539e+01,4.957800423011758539e+01
6.275574041745989717e+01,4.957800434584107308e+01,4.957800434584107308e+01
6.617334191558691714e+01,4.957800449523316644e+01,4.957803548551454043e+01
7.042540024068077287e+01,4.957815819192489215e+01,4.958455033803436152e+01
7.482540024068077855e+01,4.957827114442852690e+01,4.975699920858890124e+01
7.876494336139921870e+01,4.957827183833128970e+01,5.122713437592980767e+01
8.181125260374479069e+01,4.957827233303771663e+01,1.015935458763379415e+02
8.472329655945699756e+01,4.957840874224894634e+01,3.096454292353815845e+02
8.830100532345666409e+01,4.963676707623680784e+01,1.056744758787071305e+03
9.298288528774450867e+01,5.219968028830437135e+01,1.521748254091215131e+03
9.640048678587152153e+01,8.235197231310368693e+01,1.758568432422975548e+03
9.931253074158372840e+01,1.790063625285389435e+02,1.965454616179433742e+03
1.027301322397107413e+02,3.447849403796118395e+02,2.088514089815982061e+03
1.051301322397107469e+02,4.186838620799671844e+02,2.695207610251779897e+03
1.096556156393046422e+02,6.102919797589893278e+02,3.184922120478838679e+03
1.135951587600230823e+02,6.176514698505604883e+02,3.263521246024356969e+03
1.186071443944797466e+02,6.178281458192759601e+02,3.264645034617673446e+03
1.214071443944797437e+02,6.178295584042180053e+02,3.264696229660417430e+03
1.253466875151981839e+02,6.178295809874678071e+02,3.264698294487982366e+03
1.307281371340276621e+02,6.178300304184054994e+02,3.264702546863285988e+03
1.347281371340276621e+02,6.178301014286184909e+02,3.264702737696065469e+03
1.395447749655445762e+02,6.178301046246796204e+02,3.264702786045771518e+03
1.413336293475444165e+02,6.178301059393705827e+02,3.264703751576377272e+03
1.461502671790613306e+02,6.178398903314860036e+02,3.264765057898097893e+03
1.493502671790613192e+02,6.180799173353944980e+02,3.265969425421757023e+03
1.554560021880508316e+02,6.185017491522446562e+02,3.266358368933892052e+03
1.592295946408734721e+02,6.185319494005067327e+02,3.266370925767747849e+03
1.642415802753301364e+02,6.189232330170559635e+02,3.266778086885942230e+03
1.688022819757266859e+02,6.195705620395201549e+02,3.267133632439443772e+03
1.736189198072436000e+02,6.195710282212585298e+02,3.267134100952333938e+03
1.772189198072435943e+02,6.195711248298815690e+02,3.267134285667505537e+03
1.822785640635129880e+02,6.198842723460213620e+02,3.267136419182380450e+03
1.882785640635129880e+02,7.747743555382855902e+02,3.269331543847635203e+03
1.940474461042553855e+02,1.269218684079706691e+03,3.453519096656986221e+03
