cumulative_distance,cumulative_dose
0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,1.996542407277915688e-18
4.057561166005524633e+00,2.267549523397248445e-16
5.754617440853238897e+00,2.498561367042219705e-14
7.451673715700952272e+00,1.949668860941553216e-12
9.240528097700783761e+00,3.033795799866213488e-12
1.102938247970061525e+01,3.060421145641380836e-12
1.267862472994768019e+01,3.060747622616212191e-12
1.507862472994767877e+01,3.062456513696535603e-12
1.667862472994767842e+01,3.064347986476626538e-12
1.827862472994767984e+01,3.068968933315929207e-12
2.107862472994767700e+01,1.346255117056663311e-11
2.272786698019474372e+01,3.698591510119106098e-10
2.432786698019474514e+01,1.603298163301942824e-08
2.774546847832175800e+01,4.007350573442064922e-07
3.062990949869294965e+01,4.052881667498291560e-07
3.382990949869294894e+01,1.717361124352538575e-06
3.702990949869294468e+01,4.901904204162638081e-04
4.025481259801236433e+01,4.671438376057499009e-02
4.345481259801236718e+01,1.801664440240239085e+00
4.650112184035792495e+01,1.856803841318830806e+00
5.050112184035792495e+01,1.857515693874639551e+00
5.444066496107636510e+01,1.857531325678221545e+00
5.766556806039578476e+01,1.857671197558786957e+00
6.110649816721283401e+01,1.857701840765679790e+00
6.275574041745989717e+01,1.857748371171380031e+00
6.598064351677930972e+01,1.858283008507297884e+00
6.918064351677929835e+01,1.858894579275109482e+00
7.275835228077896488e+01,1.858929847462653440e+00
7.669789540149740503e+01,1.860135525944285551e+00
8.038571318441455560e+01,2.138758871693676511e+00
8.480385759128945722e+01,1.899986200650263868e+01
8.880385759128945722e+01,1.395722897672021077e+02
9.311198943699706376e+01,5.185857639636369640e+02
9.758412539199665048e+01,5.671960739211801865e+02
1.006304346343422083e+02,5.690402027084179508e+02
1.022304346343422026e+02,5.692263553542574073e+02
1.054553377336616222e+02,5.701927026387520527e+02
1.088494502833570436e+02,5.871419056680630320e+02
1.134101519837535932e+02,6.084006026658040582e+02
1.177182838294611997e+02,6.118863513141880048e+02
1.209431869287806194e+02,6.119278065602625247e+02
1.225924291790276897e+02,6.119311960999990561e+02
1.260100306771547025e+02,6.121388730726565655e+02
1.300100306771547025e+02,6.125817709546886363e+02
1.348100306771547139e+02,6.126862507931074333e+02
1.387698286517993722e+02,6.129306476656558971e+02
1.430779604975069788e+02,6.140233816969545160e+02
1.485185487010011514e+02,6.147640839413269305e+02
1.520962574650008037e+02,6.147911842530629656e+02
1.549806984853719882e+02,6.147914078146484371e+02
1.601960604095341125e+02,6.147922664190452906e+02
1.654114223336962368e+02,6.147923556331327291e+02
1.698835582886958093e+02,6.147929808543209447e+02
1.715328005389428654e+02,6.147950943284585037e+02
1.759509449458177812e+02,6.150175767271908853e+02
1.807509449458177926e+02,6.451817681589097901e+02
1.861915331493119652e+02,1.300591184033192803e+03
1.890759741696831497e+02,1.501738465400228506e+03
1.930759741696831497e+02,1.676659379070197247e+03
1.978759741696831611e+02,1.688132291774771829e+03
2.030759741696831497e+02,1.688161957996698447e+03
2.066536829336828021e+02,1.688162164832991039e+03
2.104484161258848474e+02,1.688162600895407422e+03
2.153310383721783410e+02,1.688772154742527846e+03
2.201310383721783523e+02,1.759669914798703303e+03
2.240908363468230107e+02,1.860482215001001123e+03
2.270028803025352317e+02,1.957491964168936192e+03
2.307764727553578723e+02,2.472970064174894560e+03
2.356426827795964414e+02,3.057316420389716313e+03
2.380426827795964471e+02,3.167665327614472517e+03
