cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.408318915758458800e+00,2.202195565654282347e-08,2.202195565654282347e-08
4.057561166005524633e+00,5.813634869756271123e-07,5.813634869756271123e-07
5.754617440853238897e+00,8.700719569913783932e-06,8.700719569913783932e-06
7.451673715700952272e+00,9.187328306451372935e-05,9.187328306451372935e-05
9.240528097700783761e+00,1.078538846023852787e-04,1.078538846023852787e-04
1.102938247970061525e+01,1.083708726424310610e-04,1.083708726424310610e-04
1.267862472994768019e+01,1.083833855443395186e-04,1.083833855443395186e-04
1.507862472994767877e+01,1.083891704178054186e-04,1.083891704178054186e-04
1.667862472994767842e+01,1.083904287431709139e-04,1.083904287431709139e-04
1.827862472994767984e+01,1.083907376668979809e-04,1.083907376668979809e-04
2.107862472994767700e+01,1.083907610151149361e-04,1.083907610151149361e-04
2.272786698019474372e+01,1.083907616292240279e-04,1.083907616292240279e-04
2.432786698019474514e+01,1.083907616795847987e-04,1.083907616795847987e-04
2.774546847832175800e+01,1.083907755347097047e-04,1.083907755347097047e-04
3.062990949869294965e+01,1.084049677889451890e-04,1.084049677889451890e-04
3.382990949869294894e+01,1.109182314250770432e-04,1.109182314250770432e-04
3.702990949869294468e+01,3.991870420853398365e-04,3.991870420853398365e-04
4.025481259801236433e+01,2.264193005296006450e-02,2.264193005296006450e-02
4.345481259801236718e+01,9.714027812080603397e-01,9.714027812080603397e-01
4.650112184035792495e+01,9.966868921120157765e-01,9.966868921120157765e-01
5.050112184035792495e+01,9.969661333269284054e-01,9.969661333269284054e-01
5.444066496107636510e+01,9.969662477810414813e-01,9.969662477810414813e-01
5.766556806039578476e+01,9.969662480818779482e-01,9.969662480818779482e-01
6.110649816721283401e+01,9.969662568186131724e-01,9.969662568186131724e-01
6.275574041745989717e+01,9.969662582816658514e-01,9.969662582816658514e-01
6.617334191558691714e+01,9.969691744394550970e-01,9.969679762471976847e-01
7.042540024068077287e+01,9.990439747216655064e-01,9.969689166629245314e-01
7.482540024068077855e+01,2.265611869157864611e+00,9.969770737238837777e-01
7.876494336139921870e+01,4.066314572536715843e+01,9.974574782543625950e-01
8.181125260374479069e+01,2.431873184816340654e+02,1.135493545162983287e+00
8.675897935448598730e+01,2.508973584625127558e+02,1.123553524801539716e+01
8.964342037485717185e+01,2.512028104676191163e+02,9.743051787715882028e+01
9.324342037485718038e+01,2.512045670947499900e+02,4.418609027571581009e+02
9.806005820637409442e+01,2.512045685102631012e+02,4.939300561914601531e+02
1.016377669703737610e+02,2.512045766673240621e+02,4.960583735071157889e+02
1.052154757343734275e+02,2.512048264282595369e+02,4.962861235176845867e+02
1.091752737090180858e+02,2.513530427909834941e+02,4.976709977722900362e+02
1.140084920984559176e+02,2.848936480454670459e+02,5.216397782488019175e+02
1.188084920984559147e+02,4.542865570238041073e+02,5.554812333631487036e+02
1.234732536143321653e+02,7.424816082858872051e+02,5.620912406994667663e+02
1.260345033093053075e+02,8.644915945766879304e+02,5.622164366104980218e+02
1.276345033093053019e+02,8.919145505481698137e+02,5.622450165678620806e+02
1.328345033093052905e+02,9.304997460191435721e+02,5.660006079443594444e+02
1.380956818844916540e+02,9.309752815166319806e+02,6.752199728407420025e+02
1.413941663849857946e+02,9.310103501158520203e+02,1.337991346995077947e+03
1.462108042165027086e+02,9.314901769441647730e+02,1.947766277120607811e+03
1.508926841807905532e+02,9.538084932521203427e+02,2.089827431170792352e+03
1.556926841807905362e+02,1.358849143026285219e+03,2.091733304533716819e+03
1.605259025702283679e+02,1.642455270440093955e+03,2.091752566477405253e+03
1.622229588450760787e+02,1.698210281757733128e+03,2.091752709192472594e+03
