cumulative_distance,dose_with_radiation,dose_without_radiation
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.507329751649383986e+00,5.764175231506492596e-05,5.764175231506492596e-05
1.574383386443898658e+01,3.830060634237176131e+00,3.830060634237176131e+00
2.016197827131389175e+01,1.192870723970920750e+02,1.143742004151741867e+03
2.056197827131389033e+01,1.272578068016441790e+02,1.159612762335598973e+03
2.136197827131389104e+01,1.409027400166003190e+02,1.160266981540931965e+03
2.897249730749007313e+01,1.409307224310130380e+02,1.207491571634379397e+03
3.454385261836372223e+01,1.409307829522331872e+02,1.207491722784907097e+03
4.011520792923737133e+01,1.409512677539146921e+02,1.207491722802864842e+03
4.491520792923736849e+01,1.490867810832983480e+02,1.213668672938931877e+03
5.548308378013569353e+01,1.906686541584892325e+02,1.694627909112451107e+03
6.436452510460550513e+01,1.918731361760166010e+02,1.706508801186539358e+03
8.292038671219464163e+01,1.918731362746760851e+02,1.707877531800751512e+03
9.537831591411259069e+01,1.918781703249997292e+02,1.707877531800751512e+03
1.036148200269021942e+02,2.173886319878191671e+02,1.707877575888438969e+03
1.192609057993885529e+02,2.195857575126897814e+02,1.708019641963541744e+03
1.418670996409002214e+02,2.195857575126897814e+02,1.815995702042442872e+03
1.735909077351375913e+02,3.152074819190513608e+02,1.830174563771091243e+03
1.816902904276642232e+02,3.254763490331977778e+02,2.202779623485058892e+03
2.124070610912610277e+02,3.254763492479419824e+02,2.202784231305959565e+03
2.228377849395852763e+02,3.300157520795539767e+02,2.202786272467134950e+03
2.344859607624341038e+02,3.384346930477529440e+02,2.212756236153231384e+03
2.514565235109112393e+02,7.400384960254316411e+02,2.212756670234046396e+03
2.762597491075952121e+02,7.400453871899674141e+02,2.212791538673790910e+03
2.841489822769216289e+02,7.400478163458118388e+02,2.212792436784708116e+03
2.918431359015901876e+02,7.402808993258312285e+02,2.212795395938692309e+03
2.984401049025784687e+02,7.420606182527315013e+02,2.213671251258506345e+03
2.995714757524769425e+02,7.421466196716876311e+02,2.234016615719274341e+03
3.016110835579140712e+02,7.426144640605624545e+02,2.254539625958540455e+03
